Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,26732.849609,26819.410156,26553.009766,26652.519531,26652.519531,74900000
2020-12-14,26659.529297,26870.470703,26648.689453,26732.439453,26732.439453,60000000
2020-12-15,26683.109375,26736.839844,26605.539063,26687.839844,26687.839844,59300000
2020-12-16,26835.589844,26874.980469,26717.029297,26757.400391,26757.400391,61300000
2020-12-17,26744.500000,26843.050781,26676.279297,26806.669922,26806.669922,61500000
2020-12-18,26775.529297,26824.289063,26707.300781,26763.390625,26763.390625,73800000
2020-12-21,26834.099609,26905.669922,26533.630859,26714.419922,26714.419922,60700000
2020-12-22,26559.330078,26639.990234,26361.660156,26436.390625,26436.390625,58600000
2020-12-23,26580.429688,26585.210938,26414.740234,26524.789063,26524.789063,56000000
2020-12-24,26635.109375,26764.529297,26605.259766,26668.349609,26668.349609,47900000
2020-12-25,26708.099609,26716.609375,26638.279297,26656.609375,26656.609375,33400000
